Date,Open,High,Low,Close,Volume
9-Feb-18,157.07,157.89,150.24,156.41,70672608
8-Feb-18,160.29,161.00,155.03,155.15,54390516
7-Feb-18,163.08,163.40,159.07,159.54,51608580
6-Feb-18,154.83,163.72,154.00,163.03,68243838
5-Feb-18,159.10,163.88,156.00,156.49,72738522
2-Feb-18,166.00,166.80,160.10,160.50,86593825
1-Feb-18,167.16,168.62,166.76,167.78,47230787
31-Jan-18,166.87,168.44,166.50,167.43,32478930
30-Jan-18,165.52,167.37,164.70,166.97,46048185
29-Jan-18,170.16,170.16,167.07,167.96,50640406
26-Jan-18,172.00,172.00,170.06,171.51,39143011
25-Jan-18,174.50,174.95,170.53,171.11,41529004
24-Jan-18,177.25,177.30,173.20,174.22,51105090
23-Jan-18,177.30,179.44,176.82,177.04,32689146
22-Jan-18,177.30,177.78,176.60,177.00,27108551
19-Jan-18,178.61,179.58,177.41,178.46,32425067
18-Jan-18,179.37,180.10,178.25,179.26,31193352
17-Jan-18,176.15,179.25,175.07,179.10,34386836
16-Jan-18,177.90,179.39,176.14,176.19,29565947
12-Jan-18,176.18,177.36,175.65,177.09,25418080
11-Jan-18,174.59,175.49,174.49,175.28,18667729
10-Jan-18,173.16,174.30,173.00,174.29,23959895
9-Jan-18,174.55,175.06,173.41,174.33,21583997
8-Jan-18,174.35,175.61,173.93,174.35,20567766
5-Jan-18,173.44,175.37,173.05,175.00,23660018
4-Jan-18,172.54,173.47,172.08,173.03,22434597
3-Jan-18,172.53,174.55,171.96,172.23,29517899
2-Jan-18,170.16,172.30,169.26,172.26,25555934
